Печатник глубокой печати
Электрослесарь-контактчик
Оператор водозапорных сооружений
Главный экономист
Оператор клепальных автоматов
Начальник камеры (навигационной, электрорадионавигационной и др.)
Электромеханик средств радио и телевидения
Строгальщик пластмасс
Аппаратчик изготовления резиновых нитей
Водитель транспортно-уборочной машины
Кессонщик-слесарь
Наладчик автоматических линий и агрегатных станков
Прессовщик слюдопластов
Заместитель Председателя Центральной избирательной комиссии Российской Федерации
Гидротермист
Разбивщик сырья
Рабочий по обслуживанию бани
Машинист котлов
Зарядчик огнетушителей
Инженер-конструктор
Ихтиопатолог
Парафинировщик
Диспетчер станционный
Тренировщик радиодеталей
Оператор по термообработке корда
Аппаратчик сушки спичечных коробок
Начальник службы атомной станции
Аппаратчик ферментации эфиромасличного сырья
Электромеханик участка
Контролер производства керамических изделий
Машинист обойно-печатной машины
Инспектор центра занятости населения
Съемщик брикетов
Сборщик гальванических элементов и батарей
Оператор лазерной голографической установки
Обработчик изделий из кости и рога
Оператор автоматов сборки карандашей
Главный редактор программ
Штурман - оператор авиационной космической и радиолокационной дальней навигации
Промывщик деталей и узлов
Штурман дежурный аэропорта
Главный кассир
Изготовитель сильфонных компенсаторов и шлангов
Начальник (заведующий) производственной лаборатории
Дежурный по стоянке, ангару
Аппаратчик получения сырого крахмала
Аппаратчик вакуум-сушильной установки
Техник-энергетик
Художник-зарисовщик
Доставщик крепежных материалов в шахту
Машинист самоходного весоповерочного вагона
Термоотделочник швейных изделий
Печатник диаграммной продукции
Оператор фотонаборных автоматов
Асфальтобетонщик
Бригадир участка прессов-расширителей
Монтажник радиоэлектронной аппаратуры и приборов
Литейщик вакуумного, центробежно- вакуумного и центробежного литья
Океанолог
Машинист машин вытягивания стекла
Аппаратчик производства фенилметилуретилана
Травильщик синтетических материалов на тканевой основе
Горнорабочий россыпных месторождений
Машинист-таблетировщик
Травильщик фарфоровых и фаянсовых изделий
Оператор трясильной машины
Аппаратчик производства красного фосфора
Оклейщик изделий из бересты
Парикмахер
Аэрографист
Варщик торфомассы
Инженер-химик
Начальник радиостанции
Комплектовщик проводов
Младший фармацевт
Стереотипер
Заготовитель геологических образцов
Машинист скрепера
Монтер кабельного производства
Начальник группы в службе эксплуатации исследовательского ядерного реактора (ускорителя заряженных частиц, экспериментальной установки)
Мацератор
Оформитель диапозитивных фильмов
Сборщик пакетов конденсаторов
Аппаратчик возгонки
Инструктор - методист по техническим и военно-прикладным видам спорта
Обмазчик заслонов
Лаборант порошковой металлургии
Эксперт по комплектованию музейного и выставочного фонда
Аппаратчик по химической обработке полупроводниковых материалов
Инженер инженерно-авиационной службы
Начальник резерва проводников пассажирских вагонов
Наборщик облицовочных материалов для мебели
Начальник спецхранилища
Оператор прачечной самообслуживания
Моторист электроразведочной станции
Дежурный стрелочного поста
Оператор дистанционного пульта управления в водопроводно- канализационном хозяйстве
Главный электрик
Раклист
Машинист-водитель машины разграждения
Оператор расчесывающего оборудования
Оператор при дежурном по отделению железной дороги
Сборщик электроугольного производства
Оператор щита технологического контроля
Прессовщик горячего стекла
Машинист мостового перегружателя
Обжигальщик металлической тары
Прессовщик брикетов
Инструктор водной станции
Раскройщик кожевенного сырья
Нотариус
Председатель кооператива (в общественном питании и гостиничном обслуживании)
Машинист красильного и вулканизационного оборудования
Гидрогеолог карьера, рудника, шахты
Прессовщик фарфоровых труб
Аппаратчик фенилирования
Методист по экологическому просвещению
Консультант в Аппарате Правительства Российской Федерации
Инструктор производственного обучения рабочих массовых профессий
Менеджер (в финансово-экономических и административных подразделениях (службах))
Прессовщик отжимной машины
Машинист машины для нанесения пленкообразующей жидкости
Машинист укладчика асфальтобетона
Изготовитель очковых оправ
Гидрогенизаторщик
Оператор производства кремнеземных материалов
Монтажник строительных машин и механизмов
Слесарь строительный
Каменщик (печник) дежурный у печей
Аппаратчик терморелаксации пряжи
Электромеханик линейный флота (по флоту)
Сушильщик стержней, форм и формовочных материалов
Начальник реактора (ускорителя, ядерно-физической установки)
Врач - судебно-медицинский эксперт
Планшетист
Контролер сборки, разборки ядерных боеприпасов
Отделочник ворса
Лаборант лаборатории искусственного старения стеклоизделий
Моторист промывочного прибора по извлечению металла
Бланшировщик
Прессовщик ткани
Контролер сварочных работ
Старший бортовой радист авиационного отряда
Подгонщик шунтов
Наладчик оборудования в производстве металлических канатов, сеток, пружин, щеток и цепей
Начальник тони
Оператор на филаментмашине
Рабочий производства по изготовлению детонирующего шнура, зарядов и других комплектующих, содержащих взрывчатые вещества
Слесарь аварийно-восстановительных работ
Директор Центра спортивной подготовки сборных команд
Ревизор коммерческий дорожный
Заготовщик химических растворов и красок
Растильщик грибницы
Помощник мастера
Печевой иодиодного рафинирования
Кондуктор главный грузовых поездов
Главный геолог
Швея
Начальник отдела (специализированного в прочих отраслях)
Начальник отдела контроля качества сборки, разборки ядерных боеприпасов
Мастер дорожно-эксплуатационного участка
Ланолинщик
Начальник смены электростанции
Фильтровальщик
Формовщик асбестоцементных изделий
Директор акционерного общества
Агент по продаже недвижимости
Старший инспектор парашютной и десантно-пожарной службы центральной базы
Резчик декалькоманий
Ремюер
Таблетировщик
Центрифуговщик
Оператор станка для укладки рассыпных спичек
Аппаратчик приготовления парфюмерных композиций и жидкостей
Заведующий студией
Прессовщик коллагенового жгута
Мастер портовых мастерских
Инженер по эксплуатации аэрофотосъемочного (фотолабораторного) оборудования
Обжигальщик слюды
Аппаратчик мокрой классификации
Радист - инструктор бортовой
Хлораторщик электродной продукции
Аквадировщик
Ферментировщик чая
Машинист установки передвижной автоматизированной непрерывного действия для приготовления бетонных смесей
Механик учебного полигона
Машинист конвейера
Медицинская сестра перевязочной
Аппаратчик изготовления искусственного шеелита
Главный энергодиспетчер
Механик бурильно-гидрографической машины
Камнетес
Контролер узла связи
Оператор котельной
Перетяжчик перчаточной кожи
Начальник экспедиции (в сельском хозяйстве)
Менеджер
Катализаторщик
Изготовитель берд
Сборщик прядильных блоков и насосов
Аппаратчик прокалки и восстановления
Сушильщик дрожжей
Прокатчик кож
Начальник Приемной Государственной Думы Федерального Собрания
Размольщик карандашной массы
Монтажник геодезических знаков
Машинист выдувных машин
Закладчик хирургического шовного материала
Нарядчик
Сборщик обмоток трансформаторов
Обработчик подошв
Смесильщик
Директор учебного пункта
Перемотчик основ
Дробильщик колчедана
Инспектор высших учебных заведений
Плотник судовой
Начальник комплекса (в промышленности)
Логопед
Инспектор военизированной охраны
Аккомпаниатор
Травильщик
Врач-психиатр участковый
Подборщик пресс-материалов
Руководитель миссии Российской Федерации
Начальник маршрута городского транспорта
Машинист отливной машины
Пластикатчик
Заведующий конторой (товарной и др.)
Печатник-тиснильщик
Машинист цементных мельниц
Садчик в печи и на туннельные вагоны
Специалист II категории в аппарате Генеральной прокуратуры Российской Федерации
Шихтовщик
Стерилизаторщик ваты
Дозировщик-смесительщик на шнеках
Штамповщик
Главный редактор студии (киностудии)
Электромонтер контактной сети
Обрывчик волокна
Реставратор смычковых и щипковых инструментов
Чистильщик дымоходов, боровов и топок
Машинист плунжерной машины
Сдатчик экспортных лесоматериалов
Резчик конвертов
Оператор автомата по розливу молочной продукции в пакеты и пленку
Мойщик щетины и волоса
Остекловщик резисторов
Провизор-стажер
Насадчик дефибрерных камней
Дробильщик-размольщик
Прессовщик пресспата
Сортировщик электроугольных изделий
Машинист автокомпрессора
Дилер по валютным операциям
Оператор опаливающего оборудования
Заведующий архивохранилищем
Обрядчик сырья
Комплектовщик шрифтовой продукции
Контролер ломбарда
Концертмейстер по классу вокала
Капитан-наставник
Выгружальщик хлопка
Оператор на песколовках и жироловках
Завальцовщик радиодеталей
Аппаратчик приготовления косметических средств
Председатель комитета (комиссии) Государственной Думы Федерального Собрания
Прессовщик-отжимщик пищевой продукции
Коагулировщик пектина
Классификаторщик шлифпорошков
Заведующий опытным полем
Заливщик камнелитейных изделий
Машинист гранулирования пластических масс
Начальник отдела в аппарате Высшего Арбитражного Суда Российской Федерации
Прессовщик горячих труб
Упаковщик в производстве лития
Директор территориального центра профессиональной ориентации молодежи
Съемщик - укладчик асфальтовых плиток
Председатель спортивного клуба
Оператор стана по прокатке гипсобетонных панелей
Заведующий колумбарием
Оформитель коллекций
Монтажник металлорежущего и кузнечно-прессового оборудования
Главный обогатитель
Складывальщик
Лаборант ускорительной установки
Аппаратчик приготовления питательных сред
Сортировщик шпона и фанеры
Сушильщик абразивных изделий
Тракторист по подготовке лесосек, трелевке и вывозке леса
Начальник электронно-вычислительной машины
Машинист фильтр-пресса
Оператор формования ленты стекла
Оператор автоматической линии изготовления ТВЭЛ
Обработчик заготовок из стекловолокна
Струнщик
Начальник бюро (специализированного в прочих отраслях)
Пропитчик карандашных дощечек
Инженер-лесопатолог
Травильщик стекла плавиковой кислотой
Секретарь пленума
Заместитель начальника управления в Аппарате Совета Федерации Федерального Собрания
Мойщик шерсти (шерстяное производство)
Регулировщик язычковых инструментов
Заместитель руководителя Секретариата Председателя Конституционного Суда Российской Федерации
Изготовитель молоточков для клавишных инструментов
Монтажник экспозиции и художественно- оформительских работ
Пантографист
Штурман (на флоте)
Обработчик изделий из пластмасс
Специалист военного представительства
Аппаратчик пропитки облицовочных материалов
Мойщик посуды
Опиловщик папье-маше
Аппаратчик сушки и карбонизации лигнина и целлолигнина
Инспектор манежа (ведущий представление)
Транспортный экспедитор
Аспираторщик
Начальник лаборатории (в строительстве)
Завальцовщик
Секретарь совета (научно-технического, ученого, художественно-технического)
Вальцовщик трубоформовочного стана
Оператор волнировочно-стопирующего агрегата
Хормейстер
Аппаратчик обезвоживания
Сборщик деталей и изделий
Аппаратчик опытных процессов
Ковровщик
Плавильщик абразивных материалов
Художник - оформитель игровых кукол
Слесарь-ремонтник
Горнорабочий очистного забоя
Реактивщик
Оператор по производству отделочных материалов на полвинилхлоридной основе
Инженер-коррозионист
Следователь по особо важным делам
Продюсер телевизионных и радиопрограмм
Насадчик обуви
Комплектовщик сухих зоопрепаратов
Инструктор-дельтапланерист
Сопровождающий спецгрузы
Зачистчик
Оператор рыбокоптильной механизированной линии
Научный сотрудник (в области медицины)
Специалист I категории в центральном аппарате федерального органа исполнительной власти
Электродчик безламельных аккумуляторов и элементов
Кодировщик
Оператор канатной машины
Губернатор
Аппаратчик перегонки и ректификации спирта
Асфальтобетонщик-варильщик
Аппаратчик приготовления смазок
Аппаратчик производства надперекиси калия
Инструктор - методист по производственной гимнастике
Правильщик на машинах
Оператор по путевым измерениям
Составитель обмазки
Грунтовщик щеточных изделий
Председатель Счетной палаты Российской Федерации
Эндофитопатолог
Аппаратчик десорбции
Начальник дороги (лесовозной, подвесной канатной и др.)
Оператор выводных устройств
Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений
Оператор производства формованного полиуретана и пенополиуретана
Приготовитель растворов и смесей
Оператор раскряжевочной установки
Сварщик электровакуумных приборов
Аппаратчик изготовления армированных прессовочных материалов
Колорист
Винипластчик
Математик
Формовщик изделий из вспенивающихся материалов
Сортировщик немытой шерсти
Шлифовщик медицинских изделий
Специалист-эксперт в Аппарате Государственной Думы Федерального Собрания
Контролер абразивных материалов и изделий
Дозировщик сырья
Сепараторщик биомассы
Чистильщик оборудования
Матрос-водолаз
Позолотчик художественных изделий
Заведующий складом
Прессовщик изоляционных материалов
Бригадир разработки шлакового отвала
Патронист рисунков
Гидроакустик
Машинист промывочной машины
Аппаратчик приготовления газовых смесей
Контролер внутреннего полигона предприятия
Насадчик валов
Рентгенолаборант
Наладчик автоматов элементного производства
Коконосмесчик
Ретушер субтитров
Заведующий производством (на предприятиях социально-бытового обслуживания населения)
Строитель кораблей
Инспектор-пилот
Калибровщик электроугольных изделий
Оператор приготовления растворов питательной среды и солей
Вальцовщик игл
Машинист торфодобывающего экскаватора
Электромонтажник по освещению и осветительным сетям
Инспектор электросвязи
Инспектор-ревизор
Ювелир-монтировщик
Настильщик
Варщик жидкого стекла
Точильщик шляпок
Наборщик ворсовальных рамок
Машинист (обжигальщик) вращающихся печей
